City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,nar'yan-mar,67.6713,53.087,-20.5,98,100,4.47
105,pedernales,18.0384,-71.744,26.22,59,41,3.88
106,bredasdorp,-34.5322,20.0403,18.78,78,4,4.77
107,punta arenas,-53.15,-70.9167,12.06,58,75,7.72
108,benjamin constant,-4.3831,-70.0311,30.07,79,20,2.57
109,oranjemund,-28.55,16.4333,18.54,87,2,4.07
110,sweetwater,25.7634,-80.3731,23.34,56,40,5.66
111,punta del este,-34.9667,-54.95,29.06,48,75,4.63
112,kapa'a,22.0752,-159.319,26.99,68,40,6.17
113,colares,38.7992,-9.4469,17.09,94,100,6.71
114,shimoda,34.6667,138.95,3.95,79,50,2.95
115,constantia,44.1833,28.65,7.38,66,100,6.19
116,san rafael,-34.6177,-68.3301,35.86,25,2,2.77
117,johvi,59.3592,27.4211,-9.83,87,100,2.37
118,kourou,5.1552,-52.6478,28.03,78,48,3.8
119,ponta delgada,37.7333,-25.6667,17.4,88,75,10.29
120,aasiaat,68.7098,-52.8699,-15.64,85,100,13.74
121,san bartolo,19.1833,-100.05,21.37,25,0,3.66
122,kapuskasing,49.4169,-82.4331,3.0,81,100,1.03
123,brokopondo,4.75,-55.1667,28.99,67,46,4.34
124,holualoa,19.6228,-155.9522,25.31,66,75,4.12
125,egilsstadir,65.2653,-14.3948,-6.05,73,75,4.63
126,piti village,13.4626,144.6933,27.03,70,20,3.09
127,chos malal,-37.3781,-70.2709,32.13,18,98,7.69
128,cabedelo,-6.9811,-34.8339,29.37,77,91,4.49
129,afaahiti,-17.75,-149.2833,28.93,89,100,15.38
130,nova sintra,14.8667,-24.7167,21.49,76,0,7.22
131,acapulco de juarez,16.8634,-99.8901,28.9,65,0,5.14
132,tolanaro,-25.0319,46.9987,24.02,94,47,2.15
133,wynyard,-41.0,145.7167,16.05,73,77,3.55
134,ust-nera,64.5667,143.2,-29.94,100,100,0.84
135,smithers,54.7804,-127.1743,0.34,70,72,1.22
136,chonchi,-42.6128,-73.8092,17.29,57,79,1.11
137,malanje,-9.5402,16.341,17.7,95,67,0.41
138,slangerup,55.85,12.1833,0.49,90,38,0.89
139,satka,55.0425,59.04,-17.92,99,61,2.05
140,arsk,56.0915,49.8778,-16.48,99,100,2.2
141,yershov,51.3513,48.2766,-0.24,98,100,8.4
142,nefteyugansk,61.0998,72.6035,-5.02,83,99,8.05
143,santana,-0.0583,-51.1817,29.1,79,20,5.14
144,navirai,-23.065,-54.1906,28.14,59,79,2.81
145,calingasta,-31.3308,-69.4078,31.53,29,69,1.08
146,nieuw amsterdam,5.8833,-55.0833,29.09,70,20,5.14
147,jahanian shah,31.8055,72.2771,10.18,40,0,3.47
148,al bawiti,28.3492,28.8659,13.35,48,0,2.47
149,kerema,-7.9631,145.7785,24.98,89,100,2.54
150,margate,51.3813,1.3862,5.94,82,100,0.89
151,mantua,45.1667,10.7833,9.58,65,98,0.89
152,bhimbar,32.9757,74.0793,8.55,42,0,1.98
153,bolobo,-2.1667,16.2333,24.57,83,100,1.3
154,kruisfontein,-34.0033,24.7314,19.38,76,15,4.97
155,aykhal,66.0,111.5,-29.19,100,90,1.23
156,harnai,30.1005,67.9374,11.05,41,0,1.2
157,nova xavantina,-14.6667,-52.35,25.81,81,97,2.31
158,canutama,-6.5339,-64.3831,26.04,93,96,0.72
159,erenhot,43.6475,111.9767,-17.92,97,95,1.52
160,ciudad lazaro cardenas,17.9583,-102.2,28.25,59,4,5.02
161,shiraoi,42.55,141.35,-8.9,75,23,3.79
162,vorgashor,67.5833,63.95,-8.76,88,100,4.82
163,dosso,13.049,3.1937,22.32,17,7,4.81
164,port mathurin,-19.6833,63.4167,26.47,80,72,7.51
165,machico,32.7,-16.7667,21.11,52,40,9.77
166,nchelenge,-9.3451,28.734,21.26,87,38,1.1
167,cill airne,52.05,-9.5167,5.52,90,100,4.47
168,montepuez,-13.1256,38.9997,22.6,95,100,1.4
169,ramadi,33.4226,43.3058,13.63,55,0,0.34
170,golden valley,45.0097,-93.3491,11.12,61,0,9.26
171,holly springs,35.6513,-78.8336,11.14,39,0,0.89
172,yuzhno-kurilsk,44.0306,145.8556,-8.68,86,39,1.54
